sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-122__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	122
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-123__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	123
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-124__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	124
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-125__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	125
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-126__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	126
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-127__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	127
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-128__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	128
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-129__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	129
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-130__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	130
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-131__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	131
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-132__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	132
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-133__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	133
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-134__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	134
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-135__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	135
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-136__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	136
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-137__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	137
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-138__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	138
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-139__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	139
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-140__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	140
